green,red,IR,acc_x,acc_y,acc_z,sample_index
84235,193570,207054,8.0650085733,-4.4004007614,3.0125636533999995,295
84456,193676,207039,8.1128650253,-4.4303110439,2.9443682093000003,296
84645,193765,207116,8.0901332106,-4.4362931003999995,3.0053851856000002,297
84855,193853,207161,8.0291162343,-4.3728833015,2.9862426048,298
85061,193932,207223,8.087740388,-4.4518464473,3.0747770410000004,299
85264,194057,207267,8.01595571,-4.415954108299999,3.1022945009000003,300
85451,194103,207313,8.1367932513,-4.347758664200001,3.0340990568,301
85486,194167,207379,8.1200434931,-4.414757697,2.9347969189,302
85061,194033,207313,7.986045427500001,-4.4434715682,2.8821548217,303
84453,193765,207195,8.124829138299999,-4.3417766077,3.0065815969000003,304
84003,193519,207041,8.1056865575,-4.2939201557,3.0675985732,305
83760,193315,206920,8.0506516377,-4.4530428586,2.9982067177999996,306
83580,193226,206899,8.1272219609,-4.4889351976,2.883351233,307
83746,193210,206863,8.074579863699999,-4.353740720699999,2.9168507494,308
83861,193245,206922,8.1032937349,-4.4673997942,3.0520452262999997,309
84038,193314,206880,7.9752777258,-4.3740797127999995,3.0017959517,310
84184,193374,206978,8.116454259200001,-4.3980079388,2.8797619991,311
84337,193407,206975,8.0733834524,-4.3393837851,2.9898318387,312
84400,193445,207029,7.942974620699999,-4.3286160834,3.0412775246,313
84526,193501,207059,8.084151154099999,-4.3274196721000004,3.1130622026,314
84662,193560,207058,8.0015987744,-4.4315074552,3.0436703472,315
84812,193614,207083,8.0470624038,-4.4171505196,2.9647072014,316
84998,193708,207114,8.003991596999999,-4.3513478981,3.0376882907,317
85186,193772,207176,8.049455226400001,-4.4841495524,3.0616165167,318
85373,193876,207230,8.099704501,-4.3585263658999995,2.979064137,319
85568,193927,207306,8.1750784129,-4.3728833015,3.0580272828,320
85728,194067,207305,8.2133635745,-4.3417766077,2.967100024,321
85937,194094,207402,8.017152121299999,-4.42672181,3.0329026454999997,322
86101,194221,207421,8.061419339399999,-4.2604206393,3.1334011947,323
86129,194262,207495,8.084151154099999,-4.4063828179,3.0843483314,324
85763,194156,207410,7.9190463947000005,-4.4219361648,3.0077780082,325
85288,193883,207254,8.0769726863,-4.402793583999999,3.0687949845,326
